amedas_id,amedas_subid,,fuken_id,type,f_pre,f_tem,f_wsd,f_sun,f_snc,station_name,station_name_kana,location,,,longitude,,,latitude,height,height_wsd,height_tem,,obs_started_pre,obs_started_others,note1,note2,supervisor,station_id,old_station_id
16281,0,後志,16,四,Y,Y,Y,Y,N,真狩,マッカリ,虻田郡真狩村美原,42,46.5,42.7750,140,52.8,140.8800,440,10,3.3,(昭50.7.1)昭53.10.27,1975/07/01,1978/10/27,,,札幌管区気象台,1072,
16286,0,後志,16,四,Y,Y,Y,Y,N,喜茂別,キモベツ,虻田郡喜茂別町伏見,42,47.6,42.7933,140,56.9,140.9483,264,8,2.9,#昭52.10.21,1974/11/01,1977/10/21,16920,,札幌管区気象台,60,
16321,0,後志,16,四,Y,Y,Y,Y,N,黒松内,クロマツナイ,寿都郡黒松内町黒松内,42,39.8,42.6633,140,18.6,140.3100,27,10,2.5,#昭52.10.20,1974/11/01,1977/10/20,16925,,札幌管区気象台,61,
17036,0,オホーツク,17,官,Y,Y,Y,Y,N,雄武,オウム,紋別郡雄武町雄武　雄武特別地域気象観測所,44,34.8,44.5800,142,57.8,142.9633,14,16.4,,#昭50.12.1,1974/11/01,1975/12/01,17903,,網走地方気象台,47405,
17076,0,オホーツク,17,四,Y,Y,Y,Y,N,興部,オコッペ,紋別郡興部町興部,44,28.2,44.4700,143,6.5,143.1083,8,10,2.5,#昭52.10.28,1974/11/01,1977/10/28,,,網走地方気象台,63,
17091,0,オホーツク,17,四,Y,Y,Y,Y,N,西興部,ニシオコッペ,紋別郡西興部村西興部,44,19.9,44.3317,142,56.2,142.9367,120,8,2.5,(昭50.7.1)昭52.10.28,1975/07/01,1977/10/28,17900,,網走地方気象台,1073,
17112,0,オホーツク,17,官,Y,Y,Y,Y,N,紋別,モンベツ,紋別市南が丘町　紋別特別地域気象観測所,44,20.7,44.3450,143,21.3,143.3550,16,13.5,,昭58.1.1,1983/01/01,1983/01/01,17904,,網走地方気象台,47435,
17116,0,オホーツク,17,官,Y,Y,Y,N,N,紋別小向,モンベツコムカイ,紋別市小向　紋別航空気象観測所,44,18.2,44.3033,143,24.2,143.4033,18,10.4,,平18.3.16,2006/03/16,2006/03/16,17960,日照を除く,網走地方気象台,1487,
17166,0,オホーツク,17,四,Y,Y,Y,Y,N,湧別,ユウベツ,紋別郡湧別町東,44,12.8,44.2133,143,37.2,143.6200,5,9.4,2.5,#昭52.10.26,1974/11/01,1977/10/26,,,網走地方気象台,65,
17196,0,オホーツク,17,四,Y,Y,Y,Y,N,滝上,タキノウエ,紋別郡滝上町滝ノ上原野5線南,44,10.6,44.1767,143,3.6,143.0600,165,10,2.5,#昭52.10.27,1974/11/01,1977/10/27,17905,,網走地方気象台,66,
17211,0,オホーツク,17,雨,Y,N,N,N,N,上藻別,カミモベツ,紋別市上藻別,44,11.3,44.1883,143,20.2,143.3367,85,,,#,1974/11/01,,,,網走地方気象台,67,
17246,0,オホーツク,17,四,Y,Y,Y,Y,N,常呂,トコロ,北見市常呂町字岐阜,44,6.9,44.1150,144,2.2,144.0367,3,10,2.5,#昭52.10.21,1974/11/01,1977/10/21,,,網走地方気象台,68,
17306,0,オホーツク,17,四,Y,Y,Y,Y,N,遠軽,エンガル,紋別郡遠軽町東町,44,3.2,44.0533,143,32.4,143.5400,80,6.4,2.5,#昭52.10.24,1974/11/01,1977/10/24,17910,,網走地方気象台,69,
17316,0,オホーツク,17,四,Y,Y,Y,Y,N,佐呂間,サロマ,常呂郡佐呂間町武士,43,59.1,43.9850,143,43.4,143.7233,59,10,2.5,#昭52.10.21,1974/11/01,1977/10/21,17915,,網走地方気象台,70,
17341,0,オホーツク,17,官,Y,Y,Y,Y,N,網走,アバシリ,網走市台町　網走地方気象台,44,1,44.0167,144,16.7,144.2783,38,15.6,,#昭50.4.1,1974/11/01,1975/04/01,17917,,網走地方気象台,47409,
17351,0,オホーツク,17,四,Y,Y,Y,Y,N,宇登呂,ウトロ,斜里郡斜里町ウトロ高原,44,3.1,44.0517,144,58.9,144.9817,144,10,2.5,(昭50.5.12)昭53.10.26,1975/05/12,1978/10/26,17935,,網走地方気象台,981,
17386,0,オホーツク,17,雨,Y,N,N,N,N,丸瀬布,マルセップ,紋別郡遠軽町丸瀬布武利,43,57.2,43.9533,143,19.7,143.3283,242,,,昭59.10.5,1984/10/05,1984/10/05,,,網走地方気象台,1420,
17482,0,オホーツク,17,四,Y,Y,Y,Y,N,白滝,シラタキ,紋別郡遠軽町白滝北支湧別,43,51.9,43.8650,143,9.2,143.1533,475,10,2.5,(昭50.9.25)平5.1.27,1975/09/25,1993/01/27,17955,,網走地方気象台,1092,
